url,text,organismo,codigo
https://www.cerronavia.cl/wp-content/uploads/2023/04/CP2022.pdf,Informe Cuenta Pública 2022,Municipalidad de Cerro Navia,CN
https://www.cerronavia.cl/wp-content/uploads/2023/04/CP2022-PRESENTACION.pdf,Presentación resumen Cuenta Pública 2022,Municipalidad de Cerro Navia,CN
https://www.cerronavia.cl/wp-content/uploads/2022/05/documento-cuentapublica2021.pdf,2021,Municipalidad de Cerro Navia,CN
https://www.cerronavia.cl/wp-content/uploads/2022/05/Presentacion-comunitaria.pdf,Cuenta Pública comunitaria,Municipalidad de Cerro Navia,CN
https://www.cerronavia.cl/wp-content/uploads/2021/04/Cuenta-Pública-2020..pdf,2020,Municipalidad de Cerro Navia,CN
https://www.cerronavia.cl/wp-content/uploads/2020/04/cta_publica_2019.pdf,2019,Municipalidad de Cerro Navia,CN
https://www.cerronavia.cl/wp-content/uploads/2020/04/cta_publica_2018.pdf,2018,Municipalidad de Cerro Navia,CN
https://www.cerronavia.cl/wp-content/uploads/2020/04/cta_publica_2017.pdf,2017,Municipalidad de Cerro Navia,CN
https://www.cerronavia.cl/wp-content/uploads/2024/12/PLAN_GOBIERNO_2024_2028.pdf,PLAN DE GOBIERNO 2024-2028,Municipalidad de Cerro Navia,CN
https://www.cerronavia.cl/wp-content/uploads/2021/08/Plan-de-Acción-para-la-implementación-del-plan-de-gestión.pdf,Plan de Acción para la implementación del plan de gestión,Municipalidad de Cerro Navia,CN
https://www.cerronavia.cl/wp-content/uploads/2020/03/PLADECO-2018-2021.pdf,PLADECO 2018 – 2021,Municipalidad de Cerro Navia,CN
https://www.cerronavia.cl/wp-content/uploads/2025/02/Plan-de-Desarrollo-Comunal-Cerro-Navia-2023-2030_modificacio%CC%81n2024.pdf,PLADECO 2023 – 2030,Municipalidad de Cerro Navia,CN
https://www.cerronavia.cl/wp-content/uploads/2020/05/Publicacion-Diario-Oficial-13.12.2019.pdf,Publicación Diario Oficial,Municipalidad de Cerro Navia,CN
https://www.cerronavia.cl/wp-content/uploads/2020/10/Ppt-Estudio-discapacidad-MEDIOS.pdf,Resultados abreviado,Municipalidad de Cerro Navia,CN
https://www.cerronavia.cl/wp-content/uploads/2021/04/FichaTecnica-y-Glosarios-ECDISC-2020-SECPLA.pdf,Ficha Técnica y Glosarios ECDISC 2020,Municipalidad de Cerro Navia,CN
https://www.cerronavia.cl/wp-content/uploads/2020/03/Ley_18695-ORGANICA-DE-MUNICIPALIDADES.pdf,Leyes,Municipalidad de Cerro Navia,CN
https://www.cerronavia.cl/wp-content/uploads/2024/09/Carta-Compromisos-UV-29-Diálogos-Ciudadanos-2024.docx.pdf,Unidad Vecinal N°29,Municipalidad de Cerro Navia,CN
https://www.cerronavia.cl/wp-content/uploads/2024/09/Carta-Compromisos-UV-30-Diálogos-Ciudadanos-2024.docx.pdf,Unidad Vecinal N°30,Municipalidad de Cerro Navia,CN
https://www.cerronavia.cl/wp-content/uploads/2024/09/Carta-Compromisos-UV-33-Diálogos-Ciudadanos-2024.docx.pdf,Unidad Vecinal N°33,Municipalidad de Cerro Navia,CN
https://www.cerronavia.cl/wp-content/uploads/2024/09/Carta-Compromisos-UV-34-Diálogos-Ciudadanos-2024.docx.pdf,Unidad Vecinal N°34,Municipalidad de Cerro Navia,CN
https://www.cerronavia.cl/wp-content/uploads/2024/09/Carta-Compromisos-UV-36-Diálogos-Ciudadanos-2024.docx.pdf,Unidad Vecinal N°36,Municipalidad de Cerro Navia,CN
https://www.cerronavia.cl/wp-content/uploads/2024/09/Carta-Compromisos-UV-37-Diálogos-Ciudadanos-2024.docx.pdf,Unidad Vecinal N°37,Municipalidad de Cerro Navia,CN
https://www.cerronavia.cl/wp-content/uploads/2024/09/Carta-Compromisos-UV-31-Diálogos-Ciudadanos.pdf,Unidad Vecinal N°31,Municipalidad de Cerro Navia,CN
https://www.cerronavia.cl/wp-content/uploads/2024/09/Carta-Compromisos-UV-32-Diálogos-Ciudadanos-2024.pdf,Unidad Vecinal N°32,Municipalidad de Cerro Navia,CN
https://www.cerronavia.cl/wp-content/uploads/2024/09/Carta-Compromisos-UV-35-Diálogos-Ciudadanos-2024.pdf,Unidad Vecinal N°35,Municipalidad de Cerro Navia,CN
https://www.cerronavia.cl/wp-content/uploads/2024/09/Carta-Compromisos-UV-24-Diálogos-Ciudadanos-2024.docx.pdf,Unidad Vecinal N°24,Municipalidad de Cerro Navia,CN
https://www.cerronavia.cl/wp-content/uploads/2024/09/Carta-Compromisos-UV-25-Diálogos-Ciudadanos-2024.docx.pdf,Unidad Vecinal N°25,Municipalidad de Cerro Navia,CN
https://www.cerronavia.cl/wp-content/uploads/2024/09/Carta-Compromisos-UV-26-Diálogos-Ciudadanos-2024.docx.pdf,Unidad Vecinal N°26,Municipalidad de Cerro Navia,CN
https://www.cerronavia.cl/wp-content/uploads/2024/08/Carta-Compromisos-UV-11-Diálogos-Ciudadanos-2024.pdf,Unidad Vecinal N°11,Municipalidad de Cerro Navia,CN
https://www.cerronavia.cl/wp-content/uploads/2024/08/Carta-Compromisos-UV-23-Diálogos-Ciudadanos-2024.pdf,Unidad Vecinal N°23,Municipalidad de Cerro Navia,CN
https://www.cerronavia.cl/wp-content/uploads/2024/08/Carta-Compromisos-UV-28-Diálogos-Ciudadanos-2024.pdf,Unidad Vecinal N°28,Municipalidad de Cerro Navia,CN
https://www.cerronavia.cl/wp-content/uploads/2024/08/Carta-Compromisos-UV-14-Diálogos-Ciudadanos-2024.pdf,Unidad Vecinal N°14,Municipalidad de Cerro Navia,CN
https://www.cerronavia.cl/wp-content/uploads/2024/08/Carta-Compromisos-UV-18-Diálogos-Ciudadanos-2024.pdf,Unidad Vecinal N°18,Municipalidad de Cerro Navia,CN
https://www.cerronavia.cl/wp-content/uploads/2024/08/Carta-Compromisos-UV-19-Diálogos-Ciudadanos-2024.pdf,Unidad Vecinal N°19,Municipalidad de Cerro Navia,CN
https://www.cerronavia.cl/wp-content/uploads/2024/08/Carta-Compromisos-UV-20-Diálogos-Ciudadanos-2024.pdf,Unidad Vecinal N°20,Municipalidad de Cerro Navia,CN
https://www.cerronavia.cl/wp-content/uploads/2024/08/Carta-Compromisos-UV-21-Diálogos-Ciudadanos-2024.pdf,Unidad Vecinal N°21,Municipalidad de Cerro Navia,CN
https://www.cerronavia.cl/wp-content/uploads/2024/08/Carta-Compromisos-UV-15-Diálogos-Ciudadanos-2024.pdf,Unidad Vecinal N°15,Municipalidad de Cerro Navia,CN
https://www.cerronavia.cl/wp-content/uploads/2024/08/Carta-Compromisos-UV-16-Diálogos-Ciudadanos-2024.pdf,Unidad Vecinal N°16,Municipalidad de Cerro Navia,CN
https://www.cerronavia.cl/wp-content/uploads/2024/08/Carta-Compromisos-UV-17-Diálogos-Ciudadanos-2024.pdf,Unidad Vecinal N°17,Municipalidad de Cerro Navia,CN
https://www.cerronavia.cl/wp-content/uploads/2024/08/Carta-Compromisos-UV-27-Diálogos-Ciudadanos-2024.pdf,Unidad Vecinal N°27,Municipalidad de Cerro Navia,CN
https://www.cerronavia.cl/wp-content/uploads/2024/08/Carta-Compromisos-UV-1-Diálogos-Ciudadanos-2024.pdf,Unidad Vecinal N°1,Municipalidad de Cerro Navia,CN
https://www.cerronavia.cl/wp-content/uploads/2024/08/Carta-Compromisos-UV-2-Diálogos-Ciudadanos-2024.pdf,Unidad Vecinal N°2,Municipalidad de Cerro Navia,CN
https://www.cerronavia.cl/wp-content/uploads/2024/08/Carta-Compromisos-UV-3-Diálogos-Ciudadanos-2024.pdf,Unidad Vecinal N°3,Municipalidad de Cerro Navia,CN
https://www.cerronavia.cl/wp-content/uploads/2024/08/Carta-Compromisos-UV-9-Diálogos-Ciudadanos-2024.pdf,Unidad Vecinal N°9,Municipalidad de Cerro Navia,CN
https://www.cerronavia.cl/wp-content/uploads/2024/08/Carta-Compromisos-UV-4-Diálogos-Ciudadanos-2024.pdf,Unidad Vecinal N°4,Municipalidad de Cerro Navia,CN
https://www.cerronavia.cl/wp-content/uploads/2024/09/Carta-Compromisos-UV-5-Diálogos-Ciudadanos-2024.docx.pdf,Unidad Vecinal N°5,Municipalidad de Cerro Navia,CN
https://www.cerronavia.cl/wp-content/uploads/2024/08/Carta-Compromisos-UV-6-Diálogos-Ciudadanos-2024.pdf,Unidad Vecinal N°6,Municipalidad de Cerro Navia,CN
https://www.cerronavia.cl/wp-content/uploads/2024/08/Carta-Compromisos-UV-10-Diálogos-Ciudadanos-2024.pdf,Unidad Vecinal N°10,Municipalidad de Cerro Navia,CN
https://www.cerronavia.cl/wp-content/uploads/2024/08/Carta-Compromisos-UV-12-Diálogos-Ciudadanos-2024.pdf,Unidad Vecinal N°12,Municipalidad de Cerro Navia,CN
