organismo,nombre,cargo,grado,estamento,sueldo_bruto,fuente,archivo_origen
Ministerio del Trabajo,,Profesional,,Funcionario,315831.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,Adminstrativo,,Funcionario,292389.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,Adminstrativo,,Funcionario,250645.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,Adminstrativo,,Funcionario,232086.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,Adminstrativo,,Funcionario,214901.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,Adminstrativo,,Funcionario,200847.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,Adminstrativo,,Funcionario,187717.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,Adminstrativo,,Funcionario,175419.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,Adminstrativo,,Funcionario,163956.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,Adminstrativo,,Funcionario,153229.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,Adminstrativo,,Funcionario,143194.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,Adminstrativo,,Funcionario,133831.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,Adminstrativo,,Funcionario,125008.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,Adminstrativo,,Funcionario,116828.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,Adminstrativo,,Funcionario,109234.0,ministerio_trabajo,funcionarios_reales.csv
SII - Datos Específicos,,Funcionario SII,,Directivo,7738744.0,sii_especifico,funcionarios_reales_especificos.csv
SII - Datos Específicos,,Funcionario SII,,Directivo,6358918.0,sii_especifico,funcionarios_reales_especificos.csv
SII - Datos Específicos,,Funcionario SII,,Directivo,5603864.0,sii_especifico,funcionarios_reales_especificos.csv
SII - Datos Específicos,,Funcionario SII,,Directivo,5328191.0,sii_especifico,funcionarios_reales_especificos.csv
SII - Datos Específicos,,Funcionario SII,,Directivo,4983345.0,sii_especifico,funcionarios_reales_especificos.csv
SII - Datos Específicos,,Funcionario SII,,Directivo,4742765.0,sii_especifico,funcionarios_reales_especificos.csv
SII - Datos Específicos,,Funcionario SII,,Directivo,4434419.0,sii_especifico,funcionarios_reales_especificos.csv
SII - Datos Específicos,,Funcionario SII,,Directivo,4173512.0,sii_especifico,funcionarios_reales_especificos.csv
SII - Datos Específicos,,Funcionario SII,,Directivo,3928829.0,sii_especifico,funcionarios_reales_especificos.csv
SII - Datos Específicos,,Funcionario SII,,Directivo,3517872.0,sii_especifico,funcionarios_reales_especificos.csv
SII - Datos Específicos,,Funcionario SII,,Directivo,3102429.0,sii_especifico,funcionarios_reales_especificos.csv
SII - Datos Específicos,,Funcionario SII,,Directivo,2166267.0,sii_especifico,funcionarios_reales_especificos.csv
SII - Datos Específicos,,Funcionario SII,,Profesional,5328191.0,sii_especifico,funcionarios_reales_especificos.csv
SII - Datos Específicos,,Funcionario SII,,Profesional,4983345.0,sii_especifico,funcionarios_reales_especificos.csv
SII - Datos Específicos,,Funcionario SII,,Profesional,4742765.0,sii_especifico,funcionarios_reales_especificos.csv
SII - Datos Específicos,,Funcionario SII,,Profesional,4350819.0,sii_especifico,funcionarios_reales_especificos.csv
SII - Datos Específicos,,Funcionario SII,,Profesional,4095593.0,sii_especifico,funcionarios_reales_especificos.csv
SII - Datos Específicos,,Funcionario SII,,Profesional,3855644.0,sii_especifico,funcionarios_reales_especificos.csv
SII - Datos Específicos,,Funcionario SII,,Profesional,3386071.0,sii_especifico,funcionarios_reales_especificos.csv
SII - Datos Específicos,,Funcionario SII,,Profesional,2985993.0,sii_especifico,funcionarios_reales_especificos.csv
SII - Datos Específicos,,Funcionario SII,,Profesional,2602630.0,sii_especifico,funcionarios_reales_especificos.csv
SII - Datos Específicos,,Funcionario SII,,Profesional,2307359.0,sii_especifico,funcionarios_reales_especificos.csv
SII - Datos Específicos,,Funcionario SII,,Profesional,2004018.0,sii_especifico,funcionarios_reales_especificos.csv
SII - Datos Específicos,,Funcionario SII,,Profesional,1763382.0,sii_especifico,funcionarios_reales_especificos.csv
SII - Datos Específicos,,Funcionario SII,,Fiscalizador,4173512.0,sii_especifico,funcionarios_reales_especificos.csv
SII - Datos Específicos,,Funcionario SII,,Fiscalizador,3928829.0,sii_especifico,funcionarios_reales_especificos.csv
SII - Datos Específicos,,Funcionario SII,,Fiscalizador,3517872.0,sii_especifico,funcionarios_reales_especificos.csv
SII - Datos Específicos,,Funcionario SII,,Fiscalizador,3044211.0,sii_especifico,funcionarios_reales_especificos.csv
SII - Datos Específicos,,Funcionario SII,,Fiscalizador,2705497.0,sii_especifico,funcionarios_reales_especificos.csv
SII - Datos Específicos,,Funcionario SII,,Fiscalizador,2383499.0,sii_especifico,funcionarios_reales_especificos.csv
SII - Datos Específicos,,Funcionario SII,,Fiscalizador,2085142.0,sii_especifico,funcionarios_reales_especificos.csv
SII - Datos Específicos,,Funcionario SII,,Técnico,2353043.0,sii_especifico,funcionarios_reales_especificos.csv
SII - Datos Específicos,,Funcionario SII,,Técnico,2085142.0,sii_especifico,funcionarios_reales_especificos.csv
SII - Datos Específicos,,Funcionario SII,,Técnico,1834639.0,sii_especifico,funcionarios_reales_especificos.csv
SII - Datos Específicos,,Funcionario SII,,Técnico,1402452.0,sii_especifico,funcionarios_reales_especificos.csv
SII - Datos Específicos,,Funcionario SII,,Técnico,1203568.0,sii_especifico,funcionarios_reales_especificos.csv
SII - Datos Específicos,,Funcionario SII,,Administrativo,1763382.0,sii_especifico,funcionarios_reales_especificos.csv
SII - Datos Específicos,,Funcionario SII,,Administrativo,1383691.0,sii_especifico,funcionarios_reales_especificos.csv
SII - Datos Específicos,,Funcionario SII,,Administrativo,1179166.0,sii_especifico,funcionarios_reales_especificos.csv
